*	* |
gằn	GI AN3_4 NC_4 |
nhai	NHI AN2_0 IC_0 |
nhúc	NHI UN_5 KC_5 |
bệ	BI ÊN_1 |
lẳng	LI AN3_2 NGC_2 |
cay	KI AN3_0 YC_0 |
ròng	RI ON1_4 NGC_4 |
tiệp	TI IÊN_1 PC_1 |
nhợt	NHI ƠN_1 TC_1 |
tứt	TI ƯN_5 TC_5 |
lặn	LI AN3_1 NC_1 |
xào	XI AN2_4 UC_4 |
nhóc	NHI ON1_5 KC_5 |
đục	DI UN_1 KC_1 |
mì	MI IN_4 |
vèo	VI EN_4 UC_4 |
khoảnh	KHI WO_2 AN1_2 NGC_2 |
búa	BI UÔN_5 |
mon	MI ON2_0 NC_0 |
dẹp	ZI EN_1 PC_1 |
thắt	THI AN3_5 TC_5 |
quật	KI WO_1 ÂN_1 TC_1 |
nhiếp	NHI IÊN_5 PC_5 |
thà	THI AN2_4 |
thong	THI ON1_0 NGC_0 |
bổng	BI ÔN_2 NGC_2 |
lụy	LI UN_1 YC_1 |
tanh	TI AN1_0 NGC_0 |
gót	GI ON2_5 TC_5 |
lượn	LI ƯƠN_1 NC_1 |
séc	SI EN_5 KC_5 |
rủ	RI UN_2 |
túng	TI UN_5 NGC_5 |
váy	VI AN3_5 YC_5 |
chéo	CHI EN_5 UC_5 |
xưởng	XI ƯƠN_2 NGC_2 |
hèn	HI EN_4 NC_4 |
khải	KHI AN2_2 IC_2 |
cúc	KI UN_5 KC_5 |
đơ	DI ƠC_0 |
kép	KI EN_5 PC_5 |
tủ	TI UN_2 |
ưa	ƯƠN_0 |
khiêm	KHI IÊN_0 MC_0 |
phệ	PHI ÊN_1 |
ghé	GI EN_5 |
vác	VI AN1_5 KC_5 |
gu	GI UN_0 |
trội	TRI ÔN_1 IC_1 |
soạn	SI WO_1 AN2_1 NC_1 |
rầm	RI ÂN_4 MC_4 |
gân	GI ÂN_0 NC_0 |
trói	TRI ON2_5 IC_5 |
vy	VI IN_0 |
hãm	HI AN2_3 MC_3 |
hót	HI ON2_5 TC_5 |
vành	VI AN1_4 NGC_4 |
bóc	BI ON1_5 KC_5 |
tý	TI IN_5 |
sầm	SI ÂN_4 MC_4 |
ốc	ÔN_5 KC_5 |
giỡn	ZI ƠN_3 NC_3 |
bốt	BI ÔN_5 TC_5 |
ủi	UN_2 IC_2 |
hê	HI ÊN_0 |
bầy	BI ÂN_4 YC_4 |
chướng	CHI ƯƠN_5 NGC_5 |
rẽ	RI EN_3 |
kỉ	KI IN_2 |
tịnh	TI IN_1 NGC_1 |
chè	CHI EN_4 |
dai	ZI AN2_0 IC_0 |
ngấm	NGI ÂN_5 MC_5 |
mẫn	MI ÂN_3 NC_3 |
m	MI |
gấu	GI ÂN_5 UC_5 |
gieo	ZI EN_0 UC_0 |
nại	NI AN2_1 IC_1 |
kẽ	KI EN_3 |
bèn	BI EN_4 NC_4 |
sin	SI IN_0 NC_0 |
sập	SI ÂN_1 PC_1 |
gợn	GI ƠN_1 NC_1 |
khanh	KHI AN1_0 NGC_0 |
đóa	DI WO_5 AN2_5 |
ló	LI ON2_5 |
nhậu	NHI ÂN_1 UC_1 |
rỗng	RI ÔN_3 NGC_3 |
voi	VI ON2_0 IC_0 |
quăng	KI WO_0 AN3_0 NGC_0 |
cáp	KI AN2_5 PC_5 |
bơ	BI ƠC_0 |
mường	MI ƯƠN_4 NGC_4 |
rã	RI AN2_3 |
bơm	BI ƠN_0 MC_0 |
hắt	HI AN3_5 TC_5 |
diêm	ZI IÊN_0 MC_0 |
khoe	KHI WO_0 EN_0 |
t	TI |
xách	XI AN1_5 KC_5 |
lảo	LI AN2_2 UC_2 |
min	MI IN_0 NC_0 |
rống	RI ÔN_5 NGC_5 |
dàn	ZI AN2_4 NC_4 |
huyễn	HI WO_3 YÊN_3 NC_3 |
ỷ	IN_2 |
nhăn	NHI AN3_0 NC_0 |
kem	KI EN_0 MC_0 |
phôn	PHI ÔN_0 NC_0 |
bả	BI AN2_2 |
khuẩn	KHI WO_2 ÂN_2 NC_2 |
banh	BI AN1_0 NGC_0 |
ngào	NGI AN2_4 UC_4 |
xao	XI AN2_0 UC_0 |
hoãn	HI WO_3 AN2_3 NC_3 |
phào	PHI AN2_4 UC_4 |
nhiễu	NHI IÊN_3 UC_3 |
cược	KI ƯƠN_1 KC_1 |
phờ	PHI ƠC_4 |
lửng	LI ƯN_2 NGC_2 |
tằm	TI AN3_4 MC_4 |
tròng	TRI ON1_4 NGC_4 |
đắm	DI AN3_5 MC_5 |
mác	MI AN1_5 KC_5 |
miên	MI IÊN_0 NC_0 |
gô	GI ÔN_0 |
cê	KI ÊN_0 |
lười	LI ƯƠN_4 IC_4 |
rạng	RI AN1_1 NGC_1 |
nhún	NHI UN_5 NC_5 |
bẻ	BI EN_2 |
tráo	TRI AN2_5 UC_5 |
gien	ZI EN_0 NC_0 |
ngõ	NGI ON2_3 |
xế	XI ÊN_5 |
hốc	HI ÔN_5 KC_5 |
băn	BI AN3_0 NC_0 |
ru	RI UN_0 |
chật	CHI ÂN_1 TC_1 |
ngửi	NGI ƯN_2 IC_2 |
trướng	TRI ƯƠN_5 NGC_5 |
cuống	KI UÔN_5 NGC_5 |
ngần	NGI ÂN_4 NC_4 |
dô	ZI ÔN_0 |
dấp	ZI ÂN_5 PC_5 |
nhấc	NHI ÂN_5 KC_5 |
bo	BI ON2_0 |
bậy	BI ÂN_1 YC_1 |
lùn	LI UN_4 NC_4 |
óp	ON2_5 PC_5 |
nấm	NI ÂN_5 MC_5 |
kíp	KI IN_5 PC_5 |
khoăn	KHI WO_0 AN3_0 NC_0 |
ve	VI EN_0 |
mép	MI EN_5 PC_5 |
rệt	RI ÊN_1 TC_1 |
nhũng	NHI UN_3 NGC_3 |
phì	PHI IN_4 |
vẹo	VI EN_1 UC_1 |
nắp	NI AN3_5 PC_5 |
điệt	DI IÊN_1 TC_1 |
úc	UN_5 KC_5 |
xui	XI UN_0 IC_0 |
hủ	HI UN_2 |
dằn	ZI AN3_4 NC_4 |
bùn	BI UN_4 NC_4 |
giục	ZI UN_1 KC_1 |
hệt	HI ÊN_1 TC_1 |
chộp	CHI ÔN_1 PC_1 |
mãng	MI AN1_3 NGC_3 |
cháo	CHI AN2_5 UC_5 |
ngoãn	NGI WO_3 AN2_3 NC_3 |
sùng	SI UN_4 NGC_4 |
ngục	NGI UN_1 KC_1 |
le	LI EN_0 |
phe	PHI EN_0 |
đĩa	DI IAN_3 |
nghiện	NGI IÊN_1 NC_1 |
tút	TI UN_5 TC_5 |
trọ	TRI ON2_1 |
rộn	RI ÔN_1 NC_1 |
nhủ	NHI UN_2 |
liêm	LI IÊN_0 MC_0 |
xua	XI UÔN_0 |
xài	XI AN2_4 IC_4 |
thòi	THI ON2_4 IC_4 |
trút	TRI UN_5 TC_5 |
đãng	DI AN1_3 NGC_3 |
tấc	TI ÂN_5 KC_5 |
nhét	NHI EN_5 TC_5 |
bún	BI UN_5 NC_5 |
hờ	HI ƠC_4 |
lộng	LI ÔN_1 NGC_1 |
đậy	DI ÂN_1 YC_1 |
nhao	NHI AN2_0 UC_0 |
mênh	MI ÊN_0 NGC_0 |
quách	KI UÔN_5 KC_5 |
nón	NI ON2_5 NC_5 |
chọi	CHI ON2_1 IC_1 |
cuồn	KI UÔN_4 NC_4 |
chặng	CHI AN3_1 NGC_1 |
dè	ZI EN_4 |
mu	MI UN_0 |
s	SI |
lừng	LI ƯN_4 NGC_4 |
nấp	NI ÂN_5 PC_5 |
xỉ	XI IN_2 |
hen	HI EN_0 NC_0 |
tụng	TI UN_1 NGC_1 |
khâm	KHI ÂN_0 MC_0 |
khương	KHI ƯƠN_0 NGC_0 |
cài	KI AN2_4 IC_4 |
biếc	BI IÊN_5 KC_5 |
phím	PHI IN_5 MC_5 |
ngạn	NGI AN2_1 NC_1 |
ráng	RI AN1_5 NGC_5 |
thùy	THI UN_4 YC_4 |
tấp	TI ÂN_5 PC_5 |
rộ	RI ÔN_1 |
hé	HI EN_5 |
gốm	GI ÔN_5 MC_5 |
sốc	SI ÔN_5 KC_5 |
bưng	BI ƯN_0 NGC_0 |
đũa	DI UÔN_3 |
võng	VI ON1_3 NGC_3 |
ngông	NGI ÔN_0 NGC_0 |
tỳ	TI IN_4 |
giếng	ZI ÊN_5 NGC_5 |
cặn	KI AN3_1 NC_1 |
khiết	KHI IÊN_5 TC_5 |
loáng	LI WO_5 AN1_5 NGC_5 |
kẹo	KI EN_1 UC_1 |
tào	TI AN2_4 UC_4 |
nhọc	NHI ON1_1 KC_1 |
thon	THI ON2_0 NC_0 |
phô	PHI ÔN_0 |
bon	BI ON2_0 NC_0 |
gêm	GI ÊN_0 MC_0 |
điềm	DI IÊN_4 MC_4 |
vú	VI UN_5 |
vịt	VI IN_1 TC_1 |
trơ	TRI ƠC_0 |
cối	KI ÔN_5 IC_5 |
ngụy	NGI UN_1 YC_1 |
chà	CHI AN2_4 |
top	TI ON2_0 PC_0 |
bọt	BI ON2_1 TC_1 |
yết	YÊN_5 TC_5 |
cõi	KI ON2_3 IC_3 |
dào	ZI AN2_4 UC_4 |
ngạch	NGI AN1_1 KC_1 |
hễ	HI ÊN_3 |
nhõm	NHI ON2_3 MC_3 |
quẩn	KI WO_2 ÂN_2 NC_2 |
lét	LI EN_5 TC_5 |
xôi	XI ÔN_0 IC_0 |
khao	KHI AN2_0 UC_0 |
gậy	GI ÂN_1 YC_1 |
lận	LI ÂN_1 NC_1 |
nín	NI IN_5 NC_5 |
bón	BI ON2_5 NC_5 |
mé	MI EN_5 |
nhẩm	NHI ÂN_2 MC_2 |
sói	SI ON2_5 IC_5 |
củi	KI UN_2 IC_2 |
quyên	KI WO_0 YÊN_0 NC_0 |
cấy	KI ÂN_5 YC_5 |
cúng	KI UN_5 NGC_5 |
lẫy	LI ÂN_3 YC_3 |
lội	LI ÔN_1 IC_1 |
gấm	GI ÂN_5 MC_5 |
kh	KHI |
gáy	GI AN3_5 YC_5 |
dép	ZI EN_5 PC_5 |
tột	TI ÔN_1 TC_1 |
cóc	KI ON1_5 KC_5 |
đẫm	DI ÂN_3 MC_3 |
tua	TI UÔN_0 |
độn	DI ÔN_1 NC_1 |
hỉ	HI IN_2 |
then	THI EN_0 NC_0 |
rỉ	RI IN_2 |
uổng	UÔN_2 NGC_2 |
đăm	DI AN3_0 MC_0 |
giùm	ZI UN_4 MC_4 |
gục	GI UN_1 KC_1 |
nếp	NI ÊN_5 PC_5 |
toả	TI WO_2 AN2_2 |
thược	THI ƯƠN_1 KC_1 |
choáng	CHI WO_5 AN1_5 NGC_5 |
nhốt	NHI ÔN_5 TC_5 |
bừa	BI ƯƠN_4 |
cút	KI UN_5 TC_5 |
tạc	TI AN1_1 KC_1 |
nhĩ	NHI IN_3 |
mài	MI AN2_4 IC_4 |
sụt	SI UN_1 TC_1 |
chiên	CHI IÊN_0 NC_0 |
gồ	GI ÔN_4 |
xơ	XI ƠC_0 |
nhâm	NHI ÂN_0 MC_0 |
tía	TI IAN_5 |
siết	SI IÊN_5 TC_5 |
mao	MI AN2_0 UC_0 |
nơ	NI ƠC_0 |
hí	HI IN_5 |
rễ	RI ÊN_3 |
xăm	XI AN3_0 MC_0 |
mầm	MI ÂN_4 MC_4 |
túp	TI UN_5 PC_5 |
khan	KHI AN2_0 NC_0 |
ngậm	NGI ÂN_1 MC_1 |
lẫm	LI ÂN_3 MC_3 |
vó	VI ON2_5 |
hực	HI ƯN_1 KC_1 |
ốt	ÔN_5 TC_5 |
vái	VI AN2_5 IC_5 |
quí	KI UN_5 IC_5 |
nhẫm	NHI ÂN_3 MC_3 |
đạc	DI AN1_1 KC_1 |
bịt	BI IN_1 TC_1 |
rụng	RI UN_1 NGC_1 |
lạy	LI AN3_1 YC_1 |
ùn	UN_4 NC_4 |
uốn	UÔN_5 NC_5 |
chùy	CHI UN_4 YC_4 |
ập	ÂN_1 PC_1 |
chanh	CHI AN1_0 NGC_0 |
nhổ	NHI ÔN_2 |
vồ	VI ÔN_4 |
nã	NI AN2_3 |
lõi	LI ON2_3 IC_3 |
lót	LI ON2_5 TC_5 |
ghêm	GI ÊN_0 MC_0 |
đu	DI UN_0 |
lóc	LI ON1_5 KC_5 |
nhướng	NHI ƯƠN_5 NGC_5 |
lãm	LI AN2_3 MC_3 |
phao	PHI AN2_0 UC_0 |
ngứa	NGI ƯƠN_5 |
rỗi	RI ÔN_3 IC_3 |
lúng	LI UN_5 NGC_5 |
vùi	VI UN_4 IC_4 |
lóng	LI ON1_5 NGC_5 |
ráo	RI AN2_5 UC_5 |
tồi	TI ÔN_4 IC_4 |
chùm	CHI UN_4 MC_4 |
tưới	TI ƯƠN_5 IC_5 |
đính	DI IN_5 NGC_5 |
kẹt	KI EN_1 TC_1 |
bưu	BI ƯN_0 UC_0 |
ních	NI IN_5 KC_5 |
toái	TI WO_5 AN2_5 IC_5 |
vặt	VI AN3_1 TC_1 |
sưu	SI ƯN_0 UC_0 |
dạn	ZI AN2_1 NC_1 |
ren	RI EN_0 NC_0 |
meo	MI EN_0 UC_0 |
chập	CHI ÂN_1 PC_1 |
ngủi	NGI UN_2 IC_2 |
chuồn	CHI UÔN_4 NC_4 |
nghễ	NGI ÊN_3 |
léo	LI EN_5 UC_5 |
chằng	CHI AN3_4 NGC_4 |
hú	HI UN_5 |
thêu	THI ÊN_0 UC_0 |
lẩn	LI ÂN_2 NC_2 |
lều	LI ÊN_4 UC_4 |
bôn	BI ÔN_0 NC_0 |
nhếch	NHI ÊN_5 KC_5 |
hòng	HI ON1_4 NGC_4 |
chẩn	CHI ÂN_2 NC_2 |
phơi	PHI ƠN_0 IC_0 |
luộc	LI UÔN_1 KC_1 |
dừa	ZI ƯƠN_4 |
vịnh	VI IN_1 NGC_1 |
đoản	DI WO_2 AN2_2 NC_2 |
chóc	CHI ON1_5 KC_5 |
đắng	DI AN3_5 NGC_5 |
bồng	BI ÔN_4 NGC_4 |
ngụ	NGI UN_1 |
thám	THI AN2_5 MC_5 |
đét	DI EN_5 TC_5 |
váng	VI AN1_5 NGC_5 |
ka	KI AN2_0 |
ui	UN_0 IC_0 |
nòng	NI ON1_4 NGC_4 |
nhúng	NHI UN_5 NGC_5 |
trá	TRI AN2_5 |
nhoáng	NHI WO_5 AN1_5 NGC_5 |
núp	NI UN_5 PC_5 |
nhuyễn	NHI WO_3 YÊN_3 NC_3 |
vớt	VI ƠN_5 TC_5 |
oa	WO_0 AN2_0 |
mấu	MI ÂN_5 UC_5 |
sưng	SI ƯN_0 NGC_0 |
mĩ	MI IN_3 |
sào	SI AN2_4 UC_4 |
mìn	MI IN_4 NC_4 |
vấp	VI ÂN_5 PC_5 |
dải	ZI AN2_2 IC_2 |
p	PC_0 |
thắn	THI AN3_5 NC_5 |
nhe	NHI EN_0 |
loa	LI WO_0 AN2_0 |
chuồng	CHI UÔN_4 NGC_4 |
toa	TI WO_0 AN2_0 |
ngoặc	NGI WO_1 AN3_1 KC_1 |
rát	RI AN2_5 TC_5 |
duỗi	ZI UÔN_3 IC_3 |
rước	RI ƯƠN_5 KC_5 |
thiêng	THI IÊN_0 NGC_0 |
thâu	THI ÂN_0 UC_0 |
khê	KHI ÊN_0 |
giặt	ZI AN3_1 TC_1 |
quắc	KI WO_5 AN3_5 KC_5 |
nhí	NHI IN_5 |
khoang	KHI WO_0 AN1_0 NGC_0 |
trỏ	TRI ON2_2 |
den	ZI EN_0 NC_0 |
chao	CHI AN2_0 UC_0 |
sam	SI AN2_0 MC_0 |
chạp	CHI AN2_1 PC_1 |
thây	THI ÂN_0 YC_0 |
hớn	HI ƠN_5 NC_5 |
vò	VI ON2_4 |
nóc	NI ON1_5 KC_5 |
hột	HI ÔN_1 TC_1 |
bồn	BI ÔN_4 NC_4 |
huân	HI WO_0 ÂN_0 NC_0 |
bít	BI IN_5 TC_5 |
nhì	NHI IN_4 |
nhơn	NHI ƠN_0 NC_0 |
hùm	HI UN_4 MC_4 |
chiêm	CHI IÊN_0 MC_0 |
nhuộm	NHI UÔN_1 MC_1 |
trẻo	TRI EN_2 UC_2 |
gù	GI UN_4 |
tơn	TI ƠN_0 NC_0 |
rành	RI AN1_4 NGC_4 |
kè	KI EN_4 |
giẫm	ZI ÂN_3 MC_3 |
lũng	LI UN_3 NGC_3 |
đôn	DI ÔN_0 NC_0 |
rẫy	RI ÂN_3 YC_3 |
rong	RI ON1_0 NGC_0 |
cọc	KI ON1_1 KC_1 |
đổng	DI ÔN_2 NGC_2 |
mít	MI IN_5 TC_5 |
chay	CHI AN3_0 YC_0 |
cò	KI ON2_4 |
quỵ	KI UN_1 YC_1 |
nang	NI AN1_0 NGC_0 |
rể	RI ÊN_2 |
khía	KHI IAN_5 |
ván	VI AN2_5 NC_5 |
be	BI EN_0 |
nịnh	NI IN_1 NGC_1 |
kiệu	KI IÊN_1 UC_1 |
te	TI EN_0 |
khuê	KHI WO_0 ÊN_0 |
phanh	PHI AN1_0 NGC_0 |
chần	CHI ÂN_4 NC_4 |
trọc	TRI ON1_1 KC_1 |
giòn	ZI ON2_4 NC_4 |
lạm	LI AN2_1 MC_1 |
nỡ	NI ƠC_3 |
úp	UN_5 PC_5 |
toà	TI WO_4 AN2_4 |
kìm	KI IN_4 MC_4 |
kẹp	KI EN_1 PC_1 |
reo	RI EN_0 UC_0 |
rọi	RI ON2_1 IC_1 |
liêu	LI IÊN_0 UC_0 |
đéo	DI EN_5 UC_5 |
cưỡi	KI ƯƠN_3 IC_3 |
soái	SI WO_5 AN2_5 IC_5 |
trạch	TRI AN1_1 KC_1 |
ạt	AN2_1 TC_1 |
bưởi	BI ƯƠN_2 IC_2 |
nện	NI ÊN_1 NC_1 |
hẻm	HI EN_2 MC_2 |
gả	GI AN2_2 |
sảng	SI AN1_2 NGC_2 |
thẳm	THI AN3_2 MC_2 |
nhũn	NHI UN_3 NC_3 |
choạng	CHI WO_1 AN1_1 NGC_1 |
ảm	AN2_2 MC_2 |
trăn	TRI AN3_0 NC_0 |
còng	KI ON1_4 NGC_4 |
dang	ZI AN1_0 NGC_0 |
nản	NI AN2_2 NC_2 |
lì	LI IN_4 |
trũng	TRI UN_3 NGC_3 |
rạch	RI AN1_1 KC_1 |
nhấp	NHI ÂN_5 PC_5 |
buột	BI UÔN_1 TC_1 |
rầu	RI ÂN_4 UC_4 |
diều	ZI IÊN_4 UC_4 |
ngán	NGI AN2_5 NC_5 |
cợt	KI ƠN_1 TC_1 |
tủy	TI UN_2 YC_2 |
ruồi	RI UÔN_4 IC_4 |
dỡ	ZI ƠC_3 |
nhảm	NHI AN2_2 MC_2 |
vạt	VI AN2_1 TC_1 |
chát	CHI AN2_5 TC_5 |
sủa	SI UÔN_2 |
trèo	TRI EN_4 UC_4 |
rụt	RI UN_1 TC_1 |
thoa	THI WO_0 AN2_0 |
bệch	BI ÊN_1 KC_1 |
chuôi	CHI UÔN_0 IC_0 |
vầy	VI ÂN_4 YC_4 |
mỉ	MI IN_2 |
cày	KI AN3_4 YC_4 |
khom	KHI ON2_0 MC_0 |
phác	PHI AN1_5 KC_5 |
khùng	KHI UN_4 NGC_4 |
the	THI EN_0 |
thiểm	THI IÊN_2 MC_2 |
ngừ	NGI ƯC_4 |
chực	CHI ƯN_1 KC_1 |
lọ	LI ON2_1 |
loạng	LI WO_1 AN1_1 NGC_1 |
lếch	LI ÊN_5 KC_5 |
tấu	TI ÂN_5 UC_5 |
giò	ZI ON2_4 |
neo	NI EN_0 UC_0 |
rải	RI AN2_2 IC_2 |
ngượng	NGI ƯƠN_1 NGC_1 |
luyến	LI WO_5 YÊN_5 NC_5 |
ten	TI EN_0 NC_0 |
rảo	RI AN2_2 UC_2 |
ngọ	NGI ON2_1 |
phồng	PHI ÔN_4 NGC_4 |
rập	RI ÂN_1 PC_1 |
nâu	NI ÂN_0 UC_0 |
miệt	MI IÊN_1 TC_1 |
chót	CHI ON2_5 TC_5 |
khiêng	KHI IÊN_0 NGC_0 |
buýt	BI WO_5 IN_5 TC_5 |
cồn	KI ÔN_4 NC_4 |
ngà	NGI AN2_4 |
vía	VI IAN_5 |
vệt	VI ÊN_1 TC_1 |
nua	NI UÔN_0 |
ửng	ƯN_2 NGC_2 |
nuối	NI UÔN_5 IC_5 |
bênh	BI ÊN_0 NGC_0 |
đò	DI ON2_4 |
ben	BI EN_0 NC_0 |
vén	VI EN_5 NC_5 |
buồng	BI UÔN_4 NGC_4 |
ngước	NGI ƯƠN_5 KC_5 |
rương	RI ƯƠN_0 NGC_0 |
tợn	TI ƠN_1 NC_1 |
tỏi	TI ON2_2 IC_2 |
đẽ	DI EN_3 |
hờn	HI ƠN_4 NC_4 |
tùm	TI UN_4 MC_4 |
háo	HI AN2_5 UC_5 |
quậy	KI WO_1 ÂN_1 YC_1 |
hừng	HI ƯN_4 NGC_4 |
tem	TI EN_0 MC_0 |
giời	ZI ƠN_4 IC_4 |
láo	LI AN2_5 UC_5 |
tơi	TI ƠN_0 IC_0 |
rích	RI IN_5 KC_5 |
thắp	THI AN3_5 PC_5 |
xiết	XI IÊN_5 TC_5 |
chèo	CHI EN_4 UC_4 |
ngả	NGI AN2_2 |
vãi	VI AN2_3 IC_3 |
đun	DI UN_0 NC_0 |
thuột	THI UÔN_1 TC_1 |
vắt	VI AN3_5 TC_5 |
câm	KI ÂN_0 MC_0 |
han	HI AN2_0 NC_0 |
sực	SI ƯN_1 KC_1 |
đốm	DI ÔN_5 MC_5 |
xổ	XI ÔN_2 |
cào	KI AN2_4 UC_4 |
hoạn	HI WO_1 AN2_1 NC_1 |
đệm	DI ÊN_1 MC_1 |
vét	VI EN_5 TC_5 |
đặn	DI AN3_1 NC_1 |
lút	LI UN_5 TC_5 |
chiết	CHI IÊN_5 TC_5 |
keo	KI EN_0 UC_0 |
de	ZI EN_0 |
cuả	KI UÔN_2 |
sáp	SI AN2_5 PC_5 |
nheo	NHI EN_0 UC_0 |
mâm	MI ÂN_0 MC_0 |
ram	RI AN2_0 MC_0 |
seo	SI EN_0 UC_0 |
sêu	SI ÊN_0 UC_0 |
hù	HI UN_4 |
mí	MI IN_5 |
qui	KI UN_0 IC_0 |
ối	ÔN_5 IC_5 |
nức	NI ƯN_5 KC_5 |
sừn	SI ƯN_4 NC_4 |
cằm	KI AN3_4 MC_4 |
chưng	CHI ƯN_0 NGC_0 |
ủ	UN_2 |
hoi	HI ON2_0 IC_0 |
bứt	BI ƯN_5 TC_5 |
bướm	BI ƯƠN_5 MC_5 |
rì	RI IN_4 |
thuở	THI UN_2 ƠC_2 |
day	ZI AN3_0 YC_0 |
bong	BI ON1_0 NGC_0 |
ách	AN1_5 KC_5 |
kị	KI IN_1 |
vẩy	VI ÂN_2 YC_2 |
nà	NI AN2_4 |
xôn	XI ÔN_0 NC_0 |
sẹo	SI EN_1 UC_1 |
khàn	KHI AN2_4 NC_4 |
buốt	BI UÔN_5 TC_5 |
hơ	HI ƠC_0 |
khoai	KHI WO_0 AN2_0 IC_0 |
bôi	BI ÔN_0 IC_0 |
ngặt	NGI AN3_1 TC_1 |
thung	THI UN_0 NGC_0 |
cup	KI UN_0 PC_0 |
chang	CHI AN1_0 NGC_0 |
lún	LI UN_5 NC_5 |
dẻo	ZI EN_2 UC_2 |
nghẹn	NGI EN_1 NC_1 |
lõm	LI ON2_3 MC_3 |
thoắt	THI WO_5 AN3_5 TC_5 |
tủi	TI UN_2 IC_2 |
cù	KI UN_4 |
tràm	TRI AN2_4 MC_4 |
muỗng	MI UÔN_3 NGC_3 |
cúm	KI UN_5 MC_5 |
chận	CHI ÂN_1 NC_1 |
mớ	MI ƠC_5 |
thinh	THI IN_0 NGC_0 |
rao	RI AN2_0 UC_0 |
méc	MI EN_5 KC_5 |
nao	NI AN2_0 UC_0 |
thềm	THI ÊN_4 MC_4 |
nung	NI UN_0 NGC_0 |
ngạnh	NGI AN1_1 NGC_1 |
tum	TI UN_0 MC_0 |
trệ	TRI ÊN_1 |
tụt	TI UN_1 TC_1 |
keng	KI EN_0 NGC_0 |
bời	BI ƠN_4 IC_4 |
khử	KHI ƯC_2 |
úy	UN_5 YC_5 |
mo	MI ON2_0 |
ngoạn	NGI WO_1 AN2_1 NC_1 |
nhộn	NHI ÔN_1 NC_1 |
ứ	ƯC_5 |
giã	ZI AN2_3 |
nến	NI ÊN_5 NC_5 |
xoài	XI WO_4 AN2_4 IC_4 |
din	ZI IN_0 NC_0 |
cỏi	KI ON2_2 IC_2 |
vin	VI IN_0 NC_0 |
mịch	MI IN_1 KC_1 |
rầy	RI ÂN_4 YC_4 |
giỏ	ZI ON2_2 |
búng	BI UN_5 NGC_5 |
hóc	HI ON1_5 KC_5 |
doạ	ZI WO_1 AN2_1 |
thắm	THI AN3_5 MC_5 |
oánh	WO_5 AN1_5 NGC_5 |
muỗi	MI UÔN_3 IC_3 |
luống	LI UÔN_5 NGC_5 |
nhện	NHI ÊN_1 NC_1 |
hằn	HI AN3_4 NC_4 |
xỉu	XI IN_2 UC_2 |
nhể	NHI ÊN_2 |
nhả	NHI AN2_2 |
khuynh	KHI WO_0 IN_0 NGC_0 |
rai	RI AN2_0 IC_0 |
ngóng	NGI ON1_5 NGC_5 |
bin	BI IN_0 NC_0 |
chòi	CHI ON2_4 IC_4 |
lốt	LI ÔN_5 TC_5 |
bọ	BI ON2_1 |
tét	TI EN_5 TC_5 |
oát	WO_5 AN2_5 TC_5 |
chích	CHI IN_5 KC_5 |
tẩm	TI ÂN_2 MC_2 |
tạt	TI AN2_1 TC_1 |
điếu	DI IÊN_5 UC_5 |
rắm	RI AN3_5 MC_5 |
qúy	KI UN_5 YC_5 |
chuộc	CHI UÔN_1 KC_1 |
chước	CHI ƯƠN_5 KC_5 |
năn	NI AN3_0 NC_0 |
vun	VI UN_0 NC_0 |
chậu	CHI ÂN_1 UC_1 |
thoạt	THI WO_1 AN2_1 TC_1 |
vá	VI AN2_5 |
bét	BI EN_5 TC_5 |
ấu	ÂN_5 UC_5 |
loang	LI WO_0 AN1_0 NGC_0 |
gáp	GI AN2_5 PC_5 |
dế	ZI ÊN_5 |
thạo	THI AN2_1 UC_1 |
khà	KHI AN2_4 |
dôn	ZI ÔN_0 NC_0 |
xát	XI AN2_5 TC_5 |
moi	MI ON2_0 IC_0 |
hạp	HI AN2_1 PC_1 |
bạ	BI AN2_1 |
kềm	KI ÊN_4 MC_4 |
sục	SI UN_1 KC_1 |
he	HI EN_0 |
dẫm	ZI ÂN_3 MC_3 |
gãi	GI AN2_3 IC_3 |
vảy	VI AN3_2 YC_2 |
phét	PHI EN_5 TC_5 |
lin	LI IN_0 NC_0 |
ướp	ƯƠN_5 PC_5 |
chầm	CHI ÂN_4 MC_4 |
dạt	ZI AN2_1 TC_1 |
hộc	HI ÔN_1 KC_1 |
chài	CHI AN2_4 IC_4 |
giãy	ZI AN3_3 YC_3 |
lịnh	LI IN_1 NGC_1 |
ph	PHI |
diệc	ZI IÊN_1 KC_1 |
tếch	TI ÊN_5 KC_5 |
gởi	GI ƠN_2 IC_2 |
ngạt	NGI AN2_1 TC_1 |
nguội	NGI UÔN_1 IC_1 |
diêu	ZI IÊN_0 UC_0 |
mụn	MI UN_1 NC_1 |
bú	BI UN_5 |
tưng	TI ƯN_0 NGC_0 |
chừa	CHI ƯƠN_4 |
ếch	ÊN_5 KC_5 |
tru	TRI UN_0 |
méo	MI EN_5 UC_5 |
lẻn	LI EN_2 NC_2 |
hắng	HI AN3_5 NGC_5 |
khoá	KHI WO_5 AN2_5 |
guôn	GI UÔN_0 NC_0 |
đốn	DI ÔN_5 NC_5 |
hãnh	HI AN1_3 NGC_3 |
nêm	NI ÊN_0 MC_0 |
ngoặt	NGI WO_1 AN3_1 TC_1 |
quầng	KI WO_4 ÂN_4 NGC_4 |
